"branch","agency","subagency","admin","institution","az_index","gov_man","ffrdcs","ffs"
"executive office of the u.s. president","white house",NA,NA,"u.s. council of economic advisers",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. council on environmental quality",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. national security council",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of management and budget",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of national drug control policy",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. office of science and technology policy",1,0,0,0
"executive office of the u.s. president","white house",NA,NA,"u.s. trade representative",1,0,0,0
"executive office of the u.s. president",NA,NA,NA,"the president",0,1,0,0
"executive office of the u.s. president",NA,NA,NA,"the vice president",0,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of agriculture",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of commerce",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of defense",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of education",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of energy",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of health and human services",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of homeland security",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of housing and urban development",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of justice",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of labor",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of state",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of the interior",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of the treasury",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of transportation",1,1,0,0
"u.s. executive branch","white house",NA,NA,"u.s. department of veterans affairs",1,1,0,0
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"cooperative state research service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"national agricultural library",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","science and education administration",NA,"u.s. agricultural research service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","u.s. economic research service",NA,"farmer cooperative service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","u.s. economic research service",NA,"statistical reporting service",0,0,0,1
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. agricultural marketing service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. animal and plant health inspection service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - marketing and regulatory programs",NA,"u.s. grain inspection, packers and stockyards administration",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - rural development",NA,"u.s. rural business-cooperative service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - rural development",NA,"u.s. rural housing service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture","usda - rural development",NA,"u.s. rural utilities service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. agricultural research service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. center for nutrition policy and promotion",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. farm service agency",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. food and nutrition service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. food safety and inspection service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. foreign agricultural service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. forest service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. national agricultural statistics service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. national institute of food and agriculture",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. national library of agriculture",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. natural resources conservation service",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"u.s. risk management agency",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"usda - marketing and regulatory programs",1,0,0,0
"u.s. executive branch","u.s. department of agriculture",NA,NA,"usda - rural development",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. international trade administration",NA,"u.s. committee for the implementation of textile agreements",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. national institute of standards and technology",NA,"u.s. weights and measures division",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration",NA,"u.s. national marine fisheries service",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration",NA,"u.s. national ocean service",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration",NA,"u.s. national weather service",1,0,0,0
"u.s. executive branch","u.s. department of commerce","u.s. national oceanic and atmospheric administration",NA,"u.s. seafood inspection program",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. bureau of economic analysis",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. bureau of industry and security",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. census bureau",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. economic development administration",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. international trade administration",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. minority business development agency",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. national institute of standards and technology",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. national oceanic and atmospheric administration",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. national technical information service",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. national telecommunications and information administration",1,0,0,0
"u.s. executive branch","u.s. department of commerce",NA,NA,"u.s. patent and trademark office",1,0,0,0
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"chemical and biological defense",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"defense business transformation agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"defense nuclear agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"defense special weapons agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"joint staff",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"national imagery and mapping agency ",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"office of the secretary of defense",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"special operations command",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense advanced research projects agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense contract management agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense information systems agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense logistics agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense security service",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense technical information center",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. defense threat reduction agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. missile defense agency",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. uniformed services university of the health sciences",0,0,0,1
"u.s. executive branch","u.s. department of defense","defense agencies",NA,"u.s. washington headquarters services",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"civil functions",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"dt&e support from operations and maintenance",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"dt&e support from procurement appropriations",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"housing for military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"housing for military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"materiel command",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"military construction",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"military construction",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"military functions",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"pay and allowances of military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"pay and allowances of military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"rdt&e appropriation",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"rdt&e appropriation",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"space command",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"special foreign currency program",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"special foreign currency program",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"support from procurement appropriations",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"u.s. air force reserve command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. air force",NA,"u.s. department of the army",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. defense finance and accounting service",NA,"u.s. defense finance and accounting service - debt and claims management center",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. defense intelligence agency",NA,"u.s. national intelligence university",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. department of the army",NA,"u.s. army corps of engineers",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. department of the army",NA,"u.s. joint program executive office for chemical and biological defense",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. department of the army",NA,"u.s. military academy, west point",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. department of the army",NA,"u.s. national guard",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"dt&e support from operations and maintenance",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"dt&e support from procurement appropriations",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"housing for military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"military construction",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"operational test and evaluation, director",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"pay and allowances of military personnel in r&d",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"rdt&e appropriation",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"special foreign currency program",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"test and evaluation, deputy under secretary of defense",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"u.s. assistant secretary of defense for health affairs",0,0,0,1
"u.s. executive branch","u.s. department of defense","u.s. department of the navy",NA,"u.s. marine corps",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. national defense university",NA,"dwight d. eisenhower school for national security and resource strategy",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. national defense university",NA,"u.s. joint forces staff college",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. national defense university",NA,"u.s. national defense university - college of information and cyberspace",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. national defense university",NA,"u.s. national war college",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. central command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. european command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. northern command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. pacific command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. southern command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. special operations command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. strategic command",1,0,0,0
"u.s. executive branch","u.s. department of defense","u.s. unified combatant commands",NA,"u.s. transportation command",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,"rand corp.","u.s. air force",1,0,1,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense acquisition university",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense advanced research projects agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense commissary agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense contract audit agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense contract management agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense finance and accounting service",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense health agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense information systems agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense intelligence agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense logistics agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense security cooperation agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense security service",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense technical information center",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. defense threat reduction agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. department of the army",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. department of the navy",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. federal voting assistance program",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. fleet forces command",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. joint chiefs of staff",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. missile defense agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. national defense university",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. national geospatial-intelligence agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. national reconnaissance office",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. national security agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. office of economic adjustment",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. pentagon force protection agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. prisoner of war and missing in action accounting agency",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. unified combatant commands",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. uniformed services university of the health sciences",1,0,0,0
"u.s. executive branch","u.s. department of defense",NA,NA,"u.s. washington headquarters services",1,0,0,0
"u.s. executive branch","u.s. department of education","u.s. office of special education and rehabilitative services",NA,"u.s. center for parent information and resources",1,0,0,0
"u.s. executive branch","u.s. department of education","u.s. office of special education and rehabilitative services",NA,"u.s. rehabilitation services administration",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. commission on presidential scholars",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. english language acquisition office",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. federal student aid information center",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. institute of education sciences",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. office of career, technical, and adult education",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. office of elementary and secondary education",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. office of postsecondary education",1,0,0,0
"u.s. executive branch","u.s. department of education",NA,NA,"u.s. office of special education and rehabilitative services",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","alliance for sustainable energy, llc","national renewable energy laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","battelle energy alliance, llc","idaho national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","battelle memorial institute","pacific northwest national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","brookhaven science associates, llc","brookhaven national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","fermi research alliance, llc","fermi national accelerator laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","iowa state university","ames laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","jefferson science associates, llc","thomas jefferson national accelerator facility",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","lawrence livermore national security, llc","lawrence livermore national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","princeton university","princeton plasma physics laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","savannah river nuclear solutions, llc","savannah river national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","stanford university","slac national accelerator laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","triad national security, llc","los alamos national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","uchicago argonne, llc","argonne national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","university of california","lawrence berkeley national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories","ut-battelle, llc","oak ridge national laboratory",1,0,1,0
"u.s. executive branch","u.s. department of energy","u.s. national laboratories",NA,"national energy technology laboratory",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. office of science",NA,"u.s. office of scientific and technical information",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. power administrations",NA,"u.s.  bonneville power administration",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. power administrations",NA,"u.s. southeastern power administration",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. power administrations",NA,"u.s. southwestern power administration",1,0,0,0
"u.s. executive branch","u.s. department of energy","u.s. power administrations",NA,"u.s. western area power administration",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. energy information administration",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. federal energy regulatory commission",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. national laboratories",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. national nuclear security administration",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. office of environmental management",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. office of fossil energy",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. office of nuclear energy",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. office of science",1,0,0,0
"u.s. executive branch","u.s. department of energy",NA,NA,"u.s. power administrations",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families",NA,"u.s. administration for native americans",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families",NA,"u.s. office of child support enforcement",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. administration for children and families",NA,"u.s. office of refugee resettlement",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention",NA,"cdc - agency for toxic substances and disease registry",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention",NA,"cdc - national institute of occupational safety and health",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. centers for disease control and prevention",NA,"cdc - national prevention information network",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. centers for medicare and medicaid services",NA,"medicaid",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. centers for medicare and medicaid services",NA,"medicare",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. food and drug administration",NA,"u.s. center for food safety and applied nutrition",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national heart, lung, and blood institute",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national institute of arthritis, musculoskeletal and skin diseases",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national institute of deafness and other communication disorders",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national institute of diabetes and digestive and kidney diseases",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national institute of mental health",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"nih - national institute of neurological disorders and stroke",1,0,0,0
"u.s. executive branch","u.s. department of health and human services","u.s. national institutes of health",NA,"u.s. substance abuse and mental health services administration",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. administration for children and families",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. administration for community living",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. agency for healthcare research and quality",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. centers for disease control and prevention",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. centers for medicare and medicaid services",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. food and drug administration",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. health resources and services administration",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. indian health service",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. national cancer institute",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. national health information center",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. national institutes of health",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. office of minority health",1,0,0,0
"u.s. executive branch","u.s. department of health and human services",NA,NA,"u.s. president's council on fitness, sports and nutrition",1,0,0,0
"u.s. executive branch","u.s. department of homeland security","u.s. federal emergency management agency",NA,"u.s. fire administration",1,0,0,0
"u.s. executive branch","u.s. department of homeland security","u.s. federal emergency management agency",NA,"u.s. national flood insurance program",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. citizenship and immigration services",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. coast guard",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. computer emergency readiness team",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. customs and border protection",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. cybersecurity and infrastructure security agency",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. federal emergency management agency",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. federal law enforcement training center",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. federal protective service",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. immigration and customs enforcement",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. secret service",1,0,0,0
"u.s. executive branch","u.s. department of homeland security",NA,NA,"u.s. transportation security administration",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development","u.s. office of housing",NA,"u.s. federal housing administration",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. government national mortgage association",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. office of community planning and development",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. office of fair housing and equal opportunity",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. office of housing",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. office of lead hazard control and healthy homes",1,0,0,0
"u.s. executive branch","u.s. department of housing and urban development",NA,NA,"u.s. office of manufactured housing programs",1,0,0,0
