"branch","agency","subagency","admin","institution","az_index","gov_man","ffrdcs","ffs"
"u.s. independent agency",NA,NA,NA,"african development bank group",1,1,0,0
"u.s. independent agency","u.s. corporation for national and community service",NA,NA,"americorps",1,0,0,0
"u.s. independent agency",NA,NA,NA,"amtrak",1,1,0,0
"u.s. independent agency",NA,NA,NA,"denali commission",1,0,0,0
"u.s. independent agency",NA,NA,NA,"export-import bank of the u.s.",1,1,0,0
"u.s. independent agency",NA,NA,NA,"inter-american foundation",1,1,0,0
"u.s. independent agency",NA,NA,NA,"millennium challenge corporation",1,0,0,0
"u.s. independent agency","u.s. corporation for national and community service",NA,NA,"senior corps",1,0,0,0
"u.s. independent agency",NA,NA,NA,"tennessee valley authority",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. agency for global media",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. agency for international development",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. central intelligence agency",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. chief acquisition officers council",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. chief financial officers council",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. chief human capital officers council",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. chief information officers council",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. commission on civil rights",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. commission on security and cooperation in europe",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. commodity futures trading commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. consumer financial protection bureau",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. consumer product safety commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. corporation for national and community service",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. defense nuclear facilities safety board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. equal employment opportunity commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. farm credit administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal communications commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal deposit insurance corporation",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal election commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal housing finance agency",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal labor relations authority",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal maritime commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal mediation and conciliation service",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal mine safety and health review commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal reserve system",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal retirement thrift investment board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. federal trade commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. general services administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. institute of museum and library services",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. international development finance corporation",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. international trade commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. merit systems protection board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national aeronautics and space administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national archives and records administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national capital planning commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national credit union administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national endowment for the arts",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national endowment for the humanities",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national foundation on the arts and the humanities",0,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national labor relations board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national mediation board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national science foundation",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. national transportation safety board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. nuclear regulatory commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. occupational safety and health review commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. office of director of national intelligence",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. office of government ethics",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. office of personnel management",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. office of special counsel",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. overseas private investment corporation",0,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. peace corps",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. pension benefit guaranty corporation",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. postal regulatory commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. postal service",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. privacy and civil liberties oversight board",1,0,0,0
"u.s. independent agency",NA,NA,NA,"u.s. railroad retirement board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. securities and exchange commission",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. selective service system",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. small business administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. social security administration",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. surface transportation board",1,1,0,0
"u.s. independent agency",NA,NA,NA,"u.s. trade and development agency",1,1,0,0
"u.s. independent agency","u.s. federal communications commission",NA,NA,"u.s. wireless telecommunications bureau",1,0,0,0
"u.s. independent agency",NA,NA,NA,"white house",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of state",NA,NA,"fulbright foreign scholarship board",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of the interior","u.s. fish and wildlife service",NA,"u.s. endangered species program",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of the interior","u.s. fish and wildlife service",NA,"u.s. migratory bird conservation commission",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of the interior",NA,NA,"u.s. indian arts and crafts board",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of the treasury",NA,NA,"committee on foreign investment in the u.s.",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of the treasury",NA,NA,"u.s. federal financing bank",1,0,0,0
"u.s. independent board, commission, committee","u.s. department of veterans affairs",NA,NA,"veterans day national committee",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"american battle monuments commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"appalachian regional commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"barry m. goldwater scholarship and excellence in education program",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"delaware river basin commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"delta regional authority",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"harry s. truman scholarship foundation",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"james madison memorial fellowship foundation",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"japan-u.s. friendship commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"mississippi river commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"morris k. udall and stewart l. udall foundation",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"presidio trust",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"susquehanna river basin commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. advisory council on historic preservation",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. arctic research commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. chemical safety board",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. citizens' stamp advisory committee",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. commission of fine arts",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. coordinating council on juvenile justice and delinquency prevention",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. council of the inspectors general on integrity and efficiency",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal financial institutions examination council",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal geographic data committee",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal interagency committee on education",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal interagency council on statistical policy",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal laboratory consortium for technology transfer",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. federal library and information center committee",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. interagency alternative dispute resolution working group",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. interagency committee for the management of noxious and exotic weeds",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. interagency council on homelessness",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. marine mammal commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. national council on disability",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. national park foundation",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. northern border regional commission",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. northwest power and conservation council",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. nuclear waste technical review board",1,0,0,0
"u.s. independent board, commission, committee",NA,NA,NA,"u.s. social security advisory board",1,0,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"john f. kennedy center for the performing arts",1,0,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"smithsonian institution",1,1,0,0
"u.s. quasi-official governmental institution","u.s. federal housing finance agency",NA,NA,"u.s. federal home loan mortgage corporation",1,0,0,0
"u.s. quasi-official governmental institution","u.s. federal housing finance agency",NA,NA,"u.s. federal national mortgage association",1,0,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"u.s. institute of peace",1,1,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"u.s. legal services corporation",1,1,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"u.s. national constitution center",1,0,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"u.s. national gallery of art",1,0,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"u.s. state justice institute",1,1,0,0
"u.s. quasi-official governmental institution",NA,NA,NA,"woodrow wilson international center for scholars",1,0,0,0
"u.s. international organizations",NA,NA,NA,"asian development bank",0,1,0,0
"u.s. international organizations",NA,NA,NA,"european bank for reconstruction and development",0,1,0,0
"u.s. international organizations",NA,NA,NA,"inter-american defense board",0,1,0,0
"u.s. international organizations",NA,NA,NA,"inter-american development bank",0,1,0,0
"u.s. international organizations",NA,NA,NA,"inter-american investment corporation",0,1,0,0
"u.s. international organizations",NA,NA,NA,"international monetary fund",0,1,0,0
"u.s. international organizations",NA,NA,NA,"international organization for migration",0,1,0,0
"u.s. international organizations",NA,NA,NA,"organization of american states",0,1,0,0
"u.s. international organizations",NA,NA,NA,"united nations",0,1,0,0
"u.s. international organizations",NA,NA,NA,"world bank group",0,1,0,0
NA,"u.s. department of defense",NA,"carnegie mellon university","software engineering institute",0,0,1,0
NA,"u.s. department of defense",NA,"institute for defense analyses","center for communications and computing",0,0,1,0
NA,"u.s. department of defense",NA,"institute for defense analyses","systems and analyses center",0,0,1,0
NA,"u.s. department of defense",NA,"massachusetts institute of technology","lincoln laboratory",0,0,1,0
NA,"u.s. department of defense",NA,"mitre corp.","national security engineering center",0,0,1,0
NA,"u.s. department of defense",NA,"rand corp.","arroyo center",0,0,1,0
NA,"u.s. department of defense",NA,"rand corp.","national defense research institute",0,0,1,0
NA,"u.s. department of defense",NA,"the aerospace corporation","aerospace federally funded research and development center",0,0,1,0
NA,"u.s. department of defense",NA,"the cna corporation","center for naval analyses",0,0,1,0
NA,"u.s. department of energy",NA,"national technology and engineering solutions of sandia, llc","sandia national laboratories",0,0,1,0
NA,"u.s. department of health and human services",NA,"mitre corp.","cms alliance to modernize healthcare",0,0,1,0
NA,"u.s. department of homeland security",NA,"battelle national biodefense institute","national biodefense analysis and countermeasures center",0,0,1,0
NA,"u.s. department of homeland security",NA,"mitre corp.","homeland security systems engineering and development institute",0,0,1,0
NA,"u.s. department of homeland security",NA,"rand corp.","homeland security operational analysis center",0,0,1,0
NA,"u.s. department of the treasury",NA,"mitre corporation","center for enterprise modernization",0,0,1,0
NA,"u.s. department of transportation",NA,"mitre corp.","center for advanced aviation system development",0,0,1,0
NA,"u.s. national science foundation",NA,"associated universities, inc.","national radio astronomy observatory",0,0,1,0
NA,"u.s. national science foundation",NA,"association of universities for research in astronomy, inc.","national solar observatory",0,0,1,0
NA,"u.s. national science foundation",NA,"association of universities for research in astronomy, inc.","nsf's national optical-infrared astronomy research laboratory",0,0,1,0
NA,"u.s. national aeronautics and space administration",NA,"california institute of technology","jet propulsion laboratory",0,0,1,0
NA,"u.s. national science foundation",NA,"institute for defense analyses","science and technology policy institute",0,0,1,0
NA,"u.s. courts",NA,"mitre corp.","judiciary engineering and modernization center",0,0,1,0
NA,"u.s. national institute of standards and technology",NA,"mitre corp.","national cybersecurity center of excellence",0,0,1,0
NA,"u.s. nuclear regulatory commission",NA,"southwest research institute","center for nuclear waste regulatory analyses",0,0,1,0
NA,"u.s. national science foundation",NA,"university corporation for atmospheric research","national center for atmospheric research",0,0,1,0
