Agency,Government Branch ,Department Agency,Child Agency,Website,Other Websites,
Federal Mine Safety and Health Review Commission,Independent Agency,,,https://www.fmshrc.gov/,,
Federal Motor Carrier Safety Administration (FMCSA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.fmcsa.dot.gov/,,
Federal National Mortgage Association (Fannie Mae),Quasi-official,Federal Housing Finance Agency ,,https://www.fanniemae.com/portal/index.html,,
Federal Protective Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.dhs.gov/topic/federal-protective-service,,
Federal Railroad Administration (FRA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://railroads.dot.gov/,,
Federal Register,Executive Department Sub-Office/Agency/Bureau,National Archives and Records Administration ,,https://www.archives.gov/federal-register,,
Federal Reserve System,Independent Agency,,,https://www.federalreserve.gov/,,
Federal Retirement Thrift Investment Board,Independent Agency,,,https://www.frtib.gov/,,
Federal Student Aid Information Center,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://studentaid.gov/,,
Federal Trade Commission (FTC),Independent Agency,,,https://www.ftc.gov/,https://www.consumer.ftc.gov/,
Federal Transit Administration (FTA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.transit.dot.gov/,,
Federal Voting Assistance Program,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.fvap.gov/,,
FedStats,"Independent Board, Commission, Committee",,,https://nces.ed.gov/FCSM/index.asp,,
Fermi National Accelerator Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.fnal.gov/,,
Fire Administration (USFA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security,Federal Emergency Management Agency ,https://www.usfa.fema.gov/,,
"Fiscal Service, Bureau of the",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.fiscal.treasury.gov/,https://www.treasurydirect.gov/,
Fish and Wildlife Service (FWS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior,,https://www.fws.gov/,,
Fleet Forces Command,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.public.navy.mil/usff/Pages/default.aspx,,
"Food and Agriculture, National Institute of (NIFA)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://nifa.usda.gov/,,
Food and Drug Administration (FDA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.fda.gov/,,
Food and Nutrition Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fns.usda.gov/,,
Food Safety and Inspection Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fsis.usda.gov/wps/portal/fsis/home,,
Foreign Agricultural Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fas.usda.gov/,,
Foreign Claims Settlement Commission,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.justice.gov/fcsc,,
Forest Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.fs.usda.gov/,,
Fossil Energy,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.energy.gov/fe/office-fossil-energy,,
Freddie Mac,Quasi-official,Federal Housing Finance Agency,,http://www.freddiemac.com/,,
Frederick National Laboratory for Cancer Research,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://frederick.cancer.gov/,,
Fulbright Foreign Scholarship Board,"Independent Board, Commission, Committee",U.S. Department of State ,,https://eca.state.gov/fulbright/about-fulbright/j-william-fulbright-foreign-scholarship-board-ffsb,,
General Services Administration (GSA),Independent Agency,,,https://www.gsa.gov/,,
Geological Survey (USGS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.usgs.gov/,,
Ginnie Mae,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.ginniemae.gov/pages/default.aspx,,
"Global Media, Agency for",Independent Agency,,,https://www.usagm.gov/,,
Government Accountability Office (GAO),Legislative,U.S. House of Representatives ,,https://www.gao.gov/,,
"Government Ethics, Office of (OGE)",Independent Agency,,,https://www.oge.gov/,,
Government National Mortgage Association (Ginnie Mae),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.ginniemae.gov/pages/default.aspx,,
Government Publishing Office (GPO),Legislative,U.S. House of Representatives ,,https://www.gpo.gov/,,
"Grain Inspection, Packers and Stockyards Administration",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,Marketing and Regulatory Programs,https://www.gipsa.usda.gov/,,
Harry S. Truman Scholarship Foundation,"Independent Board, Commission, Committee",,,https://www.truman.gov/,,
Health and Human Services Department (HHS),Executive Department,White House,,https://www.hhs.gov/,,
Health Resources and Services Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.hrsa.gov/,,
Helsinki Commission,Independent Agency,,,https://www.csce.gov/,,
Holocaust Memorial Museum,Executive Department Sub-Office/Agency/Bureau,,,https://www.ushmm.org/,,
Homeland Security Department (DHS),Executive Department,White House,,https://www.dhs.gov/,,
Hour and Wage Division (WHD),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.dol.gov/agencies/whd,,
House of Representatives,Legislative,,,https://www.house.gov/,,
House Office of Inspector General,Legislative,U.S. House of Representatives ,,https://www.house.gov/the-house-explained/officers-and-organizations/inspector-general,,
House Office of the Clerk,Legislative,U.S. House of Representatives ,,http://clerk.house.gov/,,
"Housing and Urban Development, Department of (HUD)",Executive Department,White House,,https://www.hud.gov/,,
Housing Office,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/housing,,
Idaho National Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://inl.gov/,,
Immigrant and Employee Rights Section (IER),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.justice.gov/crt/immigrant-and-employee-rights-section,,
Immigration and Citizenship Services (USCIS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.uscis.gov/,,
Immigration and Customs Enforcement (ICE),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security ,,https://www.ice.gov/,,
Indian Affairs,Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.bia.gov/,,
Indian Arts and Crafts Board,"Independent Board, Commission, Committee",U.S. Department of the Interior ,,https://www.doi.gov/iacb/,,
Indian Health Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://www.ihs.gov/,,
Indoor Air Quality (IAQ),Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency ,,https://www.epa.gov/indoor-air-quality-iaq,,
Industrial College of the Armed Forces,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University ,https://www.ndu.edu/Academics/CollegesCenters/TheEisenhowerSchool.aspx,,
"Industry and Security, Bureau of (BIS)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce ,,https://www.bis.doc.gov/,,
Information Resource Management College,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University ,https://cic.ndu.edu/,,
Innovation and Improvement Office,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://oese.ed.gov/,,
Inspectors General,"Independent Board, Commission, Committee",,,https://www.ignet.gov/,,
Institute of Education Sciences,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/about/offices/list/ies/index.html,,
Institute of Museum and Library Services,Independent Agency,,,https://www.imls.gov/,,
Institute of Peace,Quasi-official,,,https://www.usip.org/,,
Inter-American Foundation,Independent Agency,,,https://www.iaf.gov/,,
Interagency Alternative Dispute Resolution Working Group,"Independent Board, Commission, Committee",,,https://www.adr.gov/index.html,,
Interagency Committee for the Management of Noxious and Exotic Weeds,"Independent Board, Commission, Committee",,,https://www.fs.fed.us/ficmnew/index.shtml,,
Interagency Council on Homelessness,"Independent Board, Commission, Committee",,,https://www.usich.gov/,,
Interior Department (DOI),Executive Department,White House,,https://www.doi.gov/,,
Internal Revenue Service (IRS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.irs.gov/,,
"International Labor Affairs, Bureau of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.dol.gov/agencies/ilab,,
International Trade Administration (ITA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,,https://www.trade.gov/,,
International Trade Commission,Independent Agency,,,https://www.usitc.gov/,,
Interpol,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice ,,https://www.justice.gov/interpol-washington,,
James Madison Memorial Fellowship Foundation,"Independent Board, Commission, Committee",,,https://www.jamesmadison.gov/,,
Japan-United States Friendship Commission,"Independent Board, Commission, Committee",,,https://www.jusfc.gov/,,
Job Corps,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.jobcorps.gov/,,
John F. Kennedy Center for the Performing Arts,Quasi-official,,,https://www.kennedy-center.org/,,
Joint Board for the Enrollment of Actuaries,Executive Department Sub-Office/Agency/Bureau,,,https://www.irs.gov/tax-professionals/enrolled-actuaries,,
Joint Chiefs of Staff,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.jcs.mil/,,
Joint Congressional Committee on Inaugural Ceremonies,Legislative,,,https://www.inaugural.senate.gov/,,
Joint Fire Science Program,Executive Department Sub-Office/Agency/Bureau,,,https://www.firescience.gov/,,
Joint Forces Staff College,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University ,https://jfsc.ndu.edu/,,
Joint Military Intelligence College,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Defense Intelligence Agency,https://ni-u.edu/wp/,,
Joint Program Executive Office for Chemical and Biological Defense,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,U.S. Army,https://www.jpeocbrnd.osd.mil/,,
Judicial Circuit Courts of Appeal,Judicial ,,,https://www.uscourts.gov/about-federal-courts,,
Judicial Panel on Multidistrict Litigation,Judicial ,,,https://www.jpml.uscourts.gov/,,
Justice Department (DOJ),Executive Department ,White House,,https://www.justice.gov/,,
"Justice Programs, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.ojp.gov/,,
"Justice Statistics, Bureau of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,Office of Justice Programs,https://www.bjs.gov/,,
"Juvenile Justice and Delinquency Prevention, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,Office of Justice Programs,https://ojjdp.ojp.gov/,,
Kennedy Center,Quasi-official,,,https://www.kennedy-center.org/,,
Labor Department (DOL),Executive Department,White House,,https://www.dol.gov/,,
"Labor Statistics, Bureau of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://stats.bls.gov/,,
"Land Management, Bureau of (BLM)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.blm.gov/,,
Legal Services Corporation,Quasi-official,,,https://www.lsc.gov/,,
Lawrence Berkeley National Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.lbl.gov/,,
Lawrence Livermore National Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.llnl.gov/,,
Library of Congress (LOC),Legislative,U.S. House of Representatives,,https://www.loc.gov/,,
Los Alamos National Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.lanl.gov/,,
"Manufactured Housing Programs, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/housing/rmra/mhs/mhshome,,
Marine Corps,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,U.S. Navy,https://www.marines.mil/,,
Marine Mammal Commission,"Independent Board, Commission, Committee",,,https://www.mmc.gov/,,
Maritime Administration (MARAD),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.maritime.dot.gov/,,
Marketing and Regulatory Programs,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.aphis.usda.gov/aphis/ourfocus/business-services,,
Marshals Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,,https://www.usmarshals.gov//,,
Meat and Poultry Hotline,Executive Department Sub-Office/Agency/Bureau,,,https://www.fsis.usda.gov/wps/portal/fsis/home,,
Mediation and Conciliation Service,Independent Agency,,,https://www.fmcs.gov/,,
Medicaid (CMS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://www.cms.gov/,,
Medicaid and CHIP Payment and Access Commission,Legislative,,,https://www.macpac.gov/,,
Medicare (CMS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://www.cms.gov/,,
Medicare Payment Advisory Commission,Legislative,,,http://www.medpac.gov/,,
Merit Systems Protection Board,Independent Agency,,,https://www.mspb.gov/,,
Middle East Broadcasting Networks,Executive Department Sub-Office/Agency/Bureau,U.S. Agency for Global Media,,https://www.alhurra.com/,https://www.radiosawa.com/,
Migratory Bird Conservation Commission,"Independent Board, Commission, Committee",U.S. Department of the Interior,Fish and Wildlife Service ,https://www.fws.gov/refuges/realty/mbcc.html,,
Military Postal Service Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Postal Service,,https://www.hrc.army.mil/content/Military%20Postal%20Service%20Agency%20(MPSA),,
Millennium Challenge Corporation,Independent Agency,,,https://www.mcc.gov/,,
Mine Safety and Health Administration (MSHA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.msha.gov/,,
Minority Business Development Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce ,,https://www.mbda.gov/,,
"Minority Health, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://minorityhealth.hhs.gov/,,
Mint,Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Treasury ,,https://www.usmint.gov/,,
Missile Defense Agency (MDA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.mda.mil/,,
Mississippi River Commission,"Independent Board, Commission, Committee",,,https://www.mvd.usace.army.mil/About/Mississippi-River-Commission-MRC/,,
Morris K. Udall and Stewart L. Udall Foundation,"Independent Board, Commission, Committee",,,https://www.udall.gov/,,
Multifamily Housing Office,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/housing/mfh,,
National Aeronautics and Space Administration (NASA),Independent Agency,,,https://www.nasa.gov/,,
National Agricultural Statistics Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture ,,https://www.nass.usda.gov/,,
National Archives and Records Administration (NARA),Independent Agency,,,https://www.archives.gov/,,
National Cancer Institute (NCI),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://www.cancer.gov/,,
National Capital Planning Commission,Independent Agency,,,https://www.ncpc.gov/,,
National Cemetery Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Veterans Affairs ,,https://www.cem.va.gov/,,
National Constitution Center,Quasi-official,,,https://constitutioncenter.org/,,
National Council on Disability,"Independent Board, Commission, Committee",,,https://ncd.gov/,,
National Credit Union Administration (NCUA),Independent Agency,,,https://www.ncua.gov/,,
National Defense University,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,,https://www.ndu.edu/,,
National Defense University iCollege,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University,https://cic.ndu.edu/,,
National Endowment for the Arts (NEA),Independent Agency,,,https://www.arts.gov/,,
National Endowment for the Humanities,Independent Agency,,,https://www.neh.gov/,,
National Energy Technology Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.netl.doe.gov/,,
National Flood Insurance Program (NFIP),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Homeland Security,Federal Emergency Management Agency ,https://www.floodsmart.gov/,,
National Gallery of Art,Quasi-official,,,https://www.nga.gov/,,
National Geospatial-Intelligence Agency,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.nga.mil/Pages/Default.aspx,,
National Guard,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,U.S. Army,https://www.nationalguard.mil/,https://www.nationalguard.com/,https://www.goang.com/
National Health Information Center (NHIC),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services ,,https://health.gov/our-work/health-literacy/resources/national-health-information-center,,
"National Heart, Lung, and Blood Institute (NHLBI)",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.nhlbi.nih.gov/,,
National Highway Traffic Safety Administration (NHTSA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Transportation ,,https://www.nhtsa.gov/,,
National Indian Gaming Commission,Executive Department Sub-Office/Agency/Bureau,,,https://www.nigc.gov/,,
"National Institute of Arthritis, Musculoskeletal and Skin Diseases",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.niams.nih.gov/,,
National Institute of Corrections,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,Bureau of Prisons ,https://nicic.gov/,,
National Institute of Deafness and Other Communication Disorders (NIDCD),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.nidcd.nih.gov/,,
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.niddk.nih.gov/,,
National Institute of Food and Agriculture (NIFA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture ,,https://nifa.usda.gov/,,
National Institute of Justice,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Justice,Office of Justice Programs ,https://nij.ojp.gov/contact,,
National Institute of Mental Health (NIMH),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.nimh.nih.gov/index.shtml,,
National Institute of Neurological Disorders and Stroke (NINDS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,National Institutes of Health ,https://www.ninds.nih.gov/,,
National Institute of Occupational Safety and Health (NIOSH),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,Centers for Disease Control and Prevention ,https://www.cdc.gov/niosh/,,
National Institute of Standards and Technology (NIST),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,,https://www.nist.gov/,,
National Institutes of Health (NIH),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.nih.gov/,,
National Intelligence University,Executive Department Sub-Office/Agency/Bureau,Defense Intelligence Agency ,,https://ni-u.edu/wp/,,
National Interagency Fire Center,Executive Department Sub-Office/Agency/Bureau,,,https://www.nifc.gov/,,
National Labor Relations Board (NLRB),Independent Agency,,,https://www.nlrb.gov/,,
National Laboratories,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.energy.gov/national-laboratories,,
National Library of Agriculture,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture ,,https://www.nal.usda.gov/main/,,
National Marine Fisheries Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,National Oceanic and Atmospheric Administration ,https://www.fisheries.noaa.gov/,,
National Mediation Board,Independent Agency,,,https://nmb.gov/NMB_Application/,,
National Nuclear Security Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.energy.gov/nnsa/national-nuclear-security-administration,,
National Ocean Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,National Oceanic and Atmospheric Administration ,https://oceanservice.noaa.gov/,,
National Oceanic and Atmospheric Administration (NOAA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,,https://www.noaa.gov/,,
National Park Foundation,"Independent Board, Commission, Committee",,,https://www.nationalparks.org/,,
National Park Service (NPS),Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.nps.gov/index.htm,,
National Passport Information Center (NPIC),Executive Department Sub-Office/Agency/Bureau,U.S. Department of State,Bureau of Consular Affairs ,https://travel.state.gov/content/travel/en/contact-us/passports.html,,
National Pesticide Information Center,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency ,,http://npic.orst.edu/,,
National Prevention Information Network,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,Centers for Disease Control and Prevention ,https://npin.cdc.gov/,,
National Railroad Passenger Corporation (AMTRAK),Independent Agency,,,https://www.amtrak.com/home.html,,
National Reconnaissance Office,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.nro.gov/,,
National Renewable Energy Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.nrel.gov/,,
National Science Foundation (NSF),Independent Agency,,,https://www.nsf.gov/,,
National Security Agency (NSA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.nsa.gov/,,
National Security Council (NSC),Executive Office of the President,White House,,https://www.whitehouse.gov/nsc/,,
National Technical Information Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce ,,https://www.ntis.gov/,,
National Telecommunications and Information Administration,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce ,,https://www.ntia.doc.gov/,,
National Transportation Safety Board (NTSB),Independent Agency,,,https://www.ntsb.gov/Pages/default.aspx,,
National War College,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,National Defense University ,https://www.ndu.edu/Academics/CollegesCenters/NationalWarCollege.aspx,,
National Weather Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,National Oceanic and Atmospheric Administration ,https://www.weather.gov/,,
Natural Resources Conservation Service,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Agriculture,,https://www.nrcs.usda.gov/wps/portal/nrcs/site/national/home/,,
"Natural Resources Revenue, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior,,https://www.onrr.gov/,,
Navy,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense ,,https://www.navy.mil/,,
NOAA Fisheries,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Commerce,National Oceanic and Atmospheric Administration ,https://www.fisheries.noaa.gov/,,
Northern Border Regional Commission,"Independent Board, Commission, Committee",,,http://www.nbrc.gov/,,
Northern Command,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Defense,Unified Combatant Commands ,https://www.northcom.mil/,,
Northwest Power and Conservation Council,"Independent Board, Commission, Committee",,,https://www.nwcouncil.org/,,
Northwest Power Planning Council,"Independent Board, Commission, Committee",,,https://www.nwcouncil.org/,,
"Nuclear Energy, Office of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy ,,https://www.energy.gov/ne/office-nuclear-energy,,
Nuclear Regulatory Commission (NRC),Independent Agency,,,https://www.nrc.gov/,,
Nuclear Waste Technical Review Board,"Independent Board, Commission, Committee",,,https://www.nwtrb.gov/,,
Oak Ridge National Laboratory,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Energy,National Laboratories ,https://www.ornl.gov/,,
Occupational Safety and Health Administration (OSHA),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Labor ,,https://www.osha.gov/,,
Occupational Safety and Health Review Commission,Independent Agency,,,https://www.oshrc.gov/,,
"Ocean Energy Management, Bureau of",Executive Department Sub-Office/Agency/Bureau,U.S. Department of the Interior ,,https://www.boem.gov/,,
"Office for Civil Rights, Department of Education",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/about/offices/list/ocr/index.html,,
"Office for Civil Rights, Department of Health and Human Services",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,,https://www.hhs.gov/ocr/index.html,,
"Office of Career, Technical, and Adult Education",Executive Department Sub-Office/Agency/Bureau,U.S. Department of Education ,,https://www2.ed.gov/about/offices/list/ovae/index.html,,
Office of Child Support Enforcement (OCSE),Executive Department Sub-Office/Agency/Bureau,U.S. Department of Health and Human Services,Administration for Children and Families ,https://www.acf.hhs.gov/css,,
Office of Community Planning and Development,Executive Department Sub-Office/Agency/Bureau,U.S. Department of Housing and Urban Development ,,https://www.hud.gov/program_offices/comm_planning,,
Office of Compliance,Legislative,U.S. House of Representatives ,,https://www.ocwr.gov/,,
